,human,mouse,common
1,TAF7,NR2C2,TAF7
2,TAF9,SP4,SMC3
3,SMC3,ZFP143,HDAC2
4,HDAC2,BRCA1,POLE3
5,POLE3,NFE2,YBX1
6,YBX1,CREB1,E2F4
7,HDAC1,SP2,KLF1
8,E2F4,PML,GATA1
9,TFDP1,IRF3,MXD3
10,KLF1,YBX1,SOX6
11,GATA1,GTF2B,KLF3
12,MXD3,EZH2,NFE2
13,SOX6,GFI1B,EZH2
14,KLF3,NFYB,E2F2
15,NFE2,NFYC,HSF1
16,TAL1,E2F8,NFYB
17,EZH2,KLF1,E2F8
18,E2F2,SOX6,NFYC
19,MYBL2,MXD3,BCL11A
20,NFIA,KLF13,MAFG
21,HSF1,ZBTB7A,EP300
22,NFYB,RB1,KLF13
23,E2F8,E2F1,MXI1
24,NFYC,E2F2,FOXO3
25,FUBP1,GATA1,IRF2
26,UBE2K,RAD21,NFIC
27,BCL11A,POLE4,RUNX1
28,MAFG,E2F4,XBP1
29,RXRA,POLE3,ARID3A
30,CHD2,NFKB1,STAT3
31,EP300,ATF3,ETV6
32,KLF13,RELB,EGR1
33,MXI1,JUNB,TBL1XR1
34,FOXO3,JUND,BDP1
35,HOXB2,JUN,CEBPZ
36,CCNT2,MYC,YY1
37,IRF2,IRF1,E2F3
38,JDP2,FOS,STAT1
39,NFIC,CEBPB,RCOR1
40,MYB,MAFG,GTF2F1
41,RUNX1,BCL11A,REST
42,XBP1,NFKB2,MYC
43,ARID3A,BCLAF1,SMARCA4
44,CEBPE,GTF2F1,NR2C2
45,STAT3,UBTF,KDM5B
46,CEBPD,HDAC2,ELF1
47,ETV6,MAX,ATF6
48,EGR1,RELA,UBTF
49,SPI1,THAP1,BRCA1
50,FLI1,MAZ,ATF4
51,TFEC,CTCF,BCLAF1
52,SMARCB1,ATF1,SP1
53,TP53,SMARCA4,RAD21
54,TBL1XR1,YY1,TCF3
55,SF1,NR3C1,SUZ12
56,BDP1,REST,HCFC1
57,CEBPZ,E2F6,CTCF
